repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,1,100,1.0685599323717367,2.3439807891845703,2.28529691696167,3.577943089,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,2,100,3.191572305839758,3.014021158218384,2.9540350437164307,4.346029181,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,4,100,-2.1804024201603562,4.457369565963745,4.394998788833618,5.732231147,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,8,100,-10.373688978596366,6.940820217132568,6.88090705871582,9.078906676,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,16,100,-2.7321043260708064,12.966100454330444,12.90394639968872,15.121476247,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,4,32,100,-8.680528156005325,24.901053190231323,24.836150884628296,27.765388580,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,1,100,-0.07375169120699354,5.54691219329834,5.479419469833374,6.729412001,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,2,100,-7.934822821864319,6.856369733810425,6.790834188461304,8.075901507,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,4,100,-6.576690600991176,9.505729913711548,9.440371036529541,10.706564632,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,8,100,-13.589670135821354,15.916196823120117,15.849780082702637,17.143162861,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,16,100,16.080367068839912,28.450658082962036,28.38109517097473,29.736048395,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,8,32,100,11.530255282493856,56.29869055747986,56.22766327857971,57.524806690,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,1,100,-30.278205710199828,21.73421549797058,21.66701102256775,23.007137152,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,2,100,-24.956724336082996,24.054216384887695,23.98620891571045,25.295903184,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,4,100,-25.865082358641075,29.047914505004883,28.97833824157715,30.306333826,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,8,100,-14.651790884594272,37.826796531677246,37.75703310966492,39.226130423,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,16,100,-14.977412938484997,59.30592203140259,59.23480749130249,60.595142778,1,1,0
1,qmoa_complete_ST_evolution_QFT,lightning.kokkos,12,32,100,0.4844368463136716,102.36840510368347,102.29165720939636,103.599540424,1,1,0
