repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
3,grovers_search_decomposed,lightning.kokkos,3,1,100,1.0000000000000004,0.6747581958770752,0.6746292114257812,49.255624105,1,64,0
3,grovers_search_decomposed,lightning.kokkos,3,2,100,0.2500000000000001,0.6802546977996826,0.6801552772521973,3.248236386,1,64,0
3,grovers_search_decomposed,lightning.kokkos,3,4,100,1.0000000000000004,0.8841052055358887,0.8839759826660156,3.212868030,1,64,0
3,grovers_search_decomposed,lightning.kokkos,3,8,100,0.2500000000000001,1.273956060409546,1.2738068103790283,3.254684587,1,64,0
3,grovers_search_decomposed,lightning.kokkos,3,16,100,1.0000000000000004,1.8847875595092773,1.8846306800842285,3.445720797,1,64,0
3,grovers_search_decomposed,lightning.kokkos,3,32,100,0.2500000000000001,3.2714877128601074,3.271230936050415,4.414098205,1,64,0
3,grovers_search_decomposed,lightning.kokkos,4,1,100,0.7812500000000004,1.2925353050231934,1.292443037033081,2.563493105,1,64,0
3,grovers_search_decomposed,lightning.kokkos,4,2,100,0.945312500000001,1.4041361808776855,1.4040324687957764,2.473780647,1,64,0
3,grovers_search_decomposed,lightning.kokkos,4,4,100,0.012207031250000043,1.8279457092285156,1.827812671661377,2.939881963,1,64,0
3,grovers_search_decomposed,lightning.kokkos,4,8,100,0.01945686340332038,2.531633138656616,2.5314624309539795,3.679011026,1,64,0
3,grovers_search_decomposed,lightning.kokkos,4,16,100,0.3578456591640167,3.647214412689209,3.6469953060150146,4.764185347,1,64,0
3,grovers_search_decomposed,lightning.kokkos,4,32,100,0.9946685453314648,6.021068572998047,6.020674467086792,7.154619334,1,64,0
3,grovers_search_decomposed,lightning.kokkos,5,1,100,0.47265625000000033,3.1351637840270996,3.135042905807495,4.258868321,1,64,0
3,grovers_search_decomposed,lightning.kokkos,5,2,100,0.9084472656250011,3.4892520904541016,3.489098310470581,4.631326348,1,64,0
3,grovers_search_decomposed,lightning.kokkos,5,4,100,0.5817041397094743,4.952924728393555,4.952737092971802,7.651017209,1,64,0
3,grovers_search_decomposed,lightning.kokkos,5,8,100,0.8360891748598117,5.1087987422943115,5.108531475067139,8.439823489,1,64,0
3,grovers_search_decomposed,lightning.kokkos,5,16,100,0.7830894456188713,7.45858359336853,7.4581732749938965,8.608130322,1,64,0
3,grovers_search_decomposed,lightning.kokkos,5,32,100,0.4310753303806222,12.17168641090393,12.171025037765503,13.479585769,1,64,0
3,grovers_search_decomposed,lightning.kokkos,6,1,100,0.031249999999999993,7.39075779914856,7.390575647354126,11.194262083,1,64,0
3,grovers_search_decomposed,lightning.kokkos,6,2,100,0.031249999999999993,8.083545684814453,8.083348512649536,9.211927559,1,64,0
3,grovers_search_decomposed,lightning.kokkos,6,4,100,0.031249999999999986,8.645391464233398,8.645122766494751,9.803734225,1,64,0
3,grovers_search_decomposed,lightning.kokkos,6,8,100,0.03125000000000001,10.873255968093872,10.872812747955322,12.075213598,1,64,0
3,grovers_search_decomposed,lightning.kokkos,6,16,100,0.03125000000000002,15.618870496749878,15.618142127990723,19.651155906,1,64,0
3,grovers_search_decomposed,lightning.kokkos,6,32,100,0.031250000000000056,24.649659156799316,24.648260593414307,26.644420366,1,64,0
3,grovers_search_decomposed,lightning.kokkos,7,1,100,0.015625000000000076,19.36365556716919,19.363292455673218,2337.585796924,1,64,0
3,grovers_search_decomposed,lightning.kokkos,7,2,100,0.015625000000000153,17.130302906036377,17.129940509796143,19.791305654,1,64,0
3,grovers_search_decomposed,lightning.kokkos,7,4,100,0.015625000000000305,19.838548183441162,19.83802580833435,22.727106138,1,64,0
3,grovers_search_decomposed,lightning.kokkos,7,8,100,0.01562500000000054,24.909974813461304,24.909132480621338,28.059244045,1,64,0
3,grovers_search_decomposed,lightning.kokkos,7,16,100,0.015625000000000992,35.314764738082886,35.31315088272095,37.914040954,1,64,0
