repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,1,100,-0.5834045006686608,0.22734832763671875,0.2262563705444336,1.637121548,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,2,100,-0.23487400759653634,0.2820699214935303,0.2807924747467041,1.530594943,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,4,100,-0.47919651780980377,0.35769033432006836,0.3565976619720459,1.439693793,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,8,100,-0.29131540928582994,0.5476818084716797,0.5464856624603271,1.848894488,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,16,100,-0.7986025742341533,0.894986629486084,0.8937258720397949,2.068160294,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,2,32,100,-0.7305775747908133,1.6078944206237793,1.606494426727295,2.672022339,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,1,100,-0.583404500668661,0.23764681816101074,0.23631739616394043,1.342859966,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,2,100,-0.2348740075965366,0.29384589195251465,0.2924628257751465,1.392942439,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,4,100,-0.47919651780980455,0.39422130584716797,0.39293527603149414,1.610967220,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,8,100,-0.2913154092858312,0.61090087890625,0.6096553802490234,1.782845454,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,16,100,-0.7986025742341557,1.016521692276001,1.0154080390930176,2.213167592,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,3,32,100,-0.7305775747908184,1.98097562789917,1.9797923564910889,3.146894018,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,4,1,100,-0.5834045006686615,0.27353549003601074,0.27228426933288574,1.385212557,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,4,2,100,-0.23487400759653676,0.35011911392211914,0.3488798141479492,1.479629286,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,4,4,100,-0.4791965178098052,0.4698946475982666,0.4686088562011719,1.636752478,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,4,8,100,-0.29131540928583166,0.7204906940460205,0.719318151473999,1.952914226,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,4,16,100,-0.7986025742341595,1.276808261871338,1.2755658626556396,2.482645772,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,4,32,100,-0.7305775747908284,2.447514057159424,2.4461452960968018,3.674091916,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,5,1,100,-0.5834045006686615,0.25902318954467773,0.2578299045562744,1.352190733,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,5,2,100,-0.2348740075965368,0.3334312438964844,0.3321566581726074,1.516180731,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,5,4,100,-0.479196517809806,0.5096790790557861,0.5085611343383789,1.740016775,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,5,8,100,-0.29131540928583316,0.827620267868042,0.8262929916381836,2.075981105,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,5,16,100,-0.798602574234163,1.4476923942565918,1.4463703632354736,2.618263615,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,5,32,100,-0.730577574790833,2.6779890060424805,2.676684617996216,3.782493664,1,16,0
3,qaoa_hypercube_maxcut_evolution,lightning.kokkos,6,1,100,-0.5834045006686622,0.294780969619751,0.29366135597229004,1.383440709,1,16,0
