repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,1,100,-0.5834045006686596,0.28293704986572266,0.27956271171569824,5.918875200,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,2,100,-0.23487400759653554,0.24123024940490723,0.23582720756530762,3.240560290,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,4,100,-0.47919651780980066,0.42446446418762207,0.4198760986328125,2.901942400,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,8,100,-0.29131540928582683,0.6342935562133789,0.6309285163879395,3.054275304,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,16,100,-0.7986025742341365,1.4707083702087402,1.4674131870269775,3.929926632,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,2,32,100,-0.7305775747907828,2.8009445667266846,2.7966690063476562,4.575502879,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,1,100,-0.5834045006686596,0.40376758575439453,0.39931416511535645,2.018114942,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,2,100,-0.2348740075965354,0.3748784065246582,0.3724079132080078,2.067361250,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,4,100,-0.4791965178098012,0.5526561737060547,0.5488743782043457,2.287852540,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,8,100,-0.2913154092858261,0.5941433906555176,0.5914053916931152,1.817548136,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,16,100,-0.7986025742341303,1.4787092208862305,1.4751465320587158,3.031814608,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,3,32,100,-0.7305775747907727,3.54634165763855,3.543454647064209,4.967387979,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,1,100,-0.5834045006686588,0.29845404624938965,0.29527735710144043,1.946025088,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,2,100,-0.23487400759653532,0.4351937770843506,0.4324507713317871,2.134726724,1,32,0
3,qaoa_hypercube_maxcut_evolution,lightning.qubit,4,4,100,-0.4791965178097999,0.6802408695220947,0.6767029762268066,2.064330884,1,32,0
