file,one_qubit_gates,two_qubit_gates
4392459_16_64_0_125_lightning_kokkos_openmp.qasm,4176,2176
4392460_10_1_0_125_lightning_kokkos_openmp.qasm,46,12
4392460_10_1_0_25_lightning_kokkos_openmp.qasm,52,24
4392460_10_1_0_375_lightning_kokkos_openmp.qasm,55,30
4392460_10_1_0_5_lightning_kokkos_openmp.qasm,62,44
4392460_10_16_0_125_lightning_kokkos_openmp.qasm,586,192
4392460_10_16_0_25_lightning_kokkos_openmp.qasm,714,448
4392460_10_16_0_375_lightning_kokkos_openmp.qasm,714,448
4392460_10_16_0_5_lightning_kokkos_openmp.qasm,826,672
4392460_10_4_0_125_lightning_kokkos_openmp.qasm,158,56
4392460_10_4_0_25_lightning_kokkos_openmp.qasm,162,64
4392460_10_4_0_375_lightning_kokkos_openmp.qasm,202,144
4392460_10_4_0_5_lightning_kokkos_openmp.qasm,238,216
4392460_10_64_0_125_lightning_kokkos_openmp.qasm,2378,896
4392460_10_64_0_25_lightning_kokkos_openmp.qasm,2890,1920
4392460_10_64_0_375_lightning_kokkos_openmp.qasm,3082,2304
4392460_10_64_0_5_lightning_kokkos_openmp.qasm,2890,1920
4392460_16_16_0_125_lightning_kokkos_openmp.qasm,960,352
4392460_16_64_0_125_lightning_kokkos_openmp.qasm,4176,2176
4392461_10_1_0_125_lightning_kokkos_openmp.qasm,46,12
4392461_10_1_0_25_lightning_kokkos_openmp.qasm,52,24
4392461_10_1_0_375_lightning_kokkos_openmp.qasm,55,30
4392461_10_1_0_5_lightning_kokkos_openmp.qasm,62,44
4392461_10_16_0_125_lightning_kokkos_openmp.qasm,586,192
4392461_10_16_0_25_lightning_kokkos_openmp.qasm,714,448
4392461_10_16_0_375_lightning_kokkos_openmp.qasm,714,448
4392461_10_16_0_5_lightning_kokkos_openmp.qasm,826,672
4392461_10_4_0_125_lightning_kokkos_openmp.qasm,158,56
4392461_10_4_0_25_lightning_kokkos_openmp.qasm,162,64
4392461_10_4_0_375_lightning_kokkos_openmp.qasm,202,144
4392461_10_4_0_5_lightning_kokkos_openmp.qasm,238,216
4392461_10_64_0_125_lightning_kokkos_openmp.qasm,2378,896
4392461_10_64_0_25_lightning_kokkos_openmp.qasm,2890,1920
4392461_10_64_0_375_lightning_kokkos_openmp.qasm,3082,2304
4392461_10_64_0_5_lightning_kokkos_openmp.qasm,2890,1920
4392461_16_16_0_125_lightning_kokkos_openmp.qasm,960,352
4392461_16_64_0_125_lightning_kokkos_openmp.qasm,4176,2176
4392462_10_1_0_125_lightning_kokkos_openmp.qasm,46,12
4392462_10_1_0_25_lightning_kokkos_openmp.qasm,52,24
4392462_10_1_0_375_lightning_kokkos_openmp.qasm,55,30
4392462_10_1_0_5_lightning_kokkos_openmp.qasm,62,44
4392462_10_16_0_125_lightning_kokkos_openmp.qasm,586,192
4392462_10_16_0_25_lightning_kokkos_openmp.qasm,714,448
4392462_10_16_0_375_lightning_kokkos_openmp.qasm,714,448
4392462_10_16_0_5_lightning_kokkos_openmp.qasm,826,672
4392462_10_4_0_125_lightning_kokkos_openmp.qasm,158,56
4392462_10_4_0_25_lightning_kokkos_openmp.qasm,162,64
4392462_10_4_0_375_lightning_kokkos_openmp.qasm,202,144
