file,one_qubit_gates,two_qubit_gates
4392470_10_4_0_375_lightning_qubit.qasm,202,144
4392470_10_4_0_5_lightning_qubit.qasm,238,216
4392470_10_64_0_125_lightning_qubit.qasm,2378,896
4392470_10_64_0_25_lightning_qubit.qasm,2890,1920
4392470_10_64_0_375_lightning_qubit.qasm,3082,2304
4392470_10_64_0_5_lightning_qubit.qasm,2890,1920
4392470_16_1_0_125_lightning_qubit.qasm,81,34
4392470_16_1_0_25_lightning_qubit.qasm,87,46
4392470_16_1_0_375_lightning_qubit.qasm,115,102
4392470_16_1_0_5_lightning_qubit.qasm,132,136
4392470_16_16_0_125_lightning_qubit.qasm,960,352
4392470_16_16_0_25_lightning_qubit.qasm,1264,960
4392470_16_16_0_375_lightning_qubit.qasm,1392,1216
4392470_16_16_0_5_lightning_qubit.qasm,1632,1696
4392470_16_4_0_125_lightning_qubit.qasm,252,88
4392470_16_4_0_25_lightning_qubit.qasm,332,248
4392470_16_4_0_375_lightning_qubit.qasm,344,272
4392470_16_4_0_5_lightning_qubit.qasm,468,520
4392470_16_64_0_125_lightning_qubit.qasm,4176,2176
4392470_16_64_0_25_lightning_qubit.qasm,5072,3968
4392470_16_64_0_375_lightning_qubit.qasm,5584,4992
4392470_16_64_0_5_lightning_qubit.qasm,6480,6784
4392470_20_1_0_125_lightning_qubit.qasm,104,48
4392470_20_1_0_25_lightning_qubit.qasm,130,100
4392470_20_1_0_375_lightning_qubit.qasm,154,148
4392470_20_1_0_5_lightning_qubit.qasm,176,192
4392470_20_16_0_125_lightning_qubit.qasm,1332,704
4392470_20_16_0_25_lightning_qubit.qasm,1796,1632
4392470_20_16_0_375_lightning_qubit.qasm,2212,2464
4392470_20_16_0_5_lightning_qubit.qasm,2388,2816
4392470_20_4_0_125_lightning_qubit.qasm,320,120
4392470_20_4_0_25_lightning_qubit.qasm,452,384
4392470_20_4_0_375_lightning_qubit.qasm,580,640
4392470_20_4_0_5_lightning_qubit.qasm,668,816
4392470_20_64_0_125_lightning_qubit.qasm,5524,3328
4392470_20_64_0_25_lightning_qubit.qasm,7124,6528
4392470_20_64_0_375_lightning_qubit.qasm,9044,10368
4392470_20_64_0_5_lightning_qubit.qasm,9684,11648
4392470_24_1_0_125_lightning_qubit.qasm,137,82
4392470_24_1_0_25_lightning_qubit.qasm,173,154
4392470_24_1_0_375_lightning_qubit.qasm,199,206
4392470_24_1_0_5_lightning_qubit.qasm,209,226
4392470_24_16_0_125_lightning_qubit.qasm,1704,1056
4392470_24_16_0_25_lightning_qubit.qasm,2264,2176
4392470_24_16_0_375_lightning_qubit.qasm,2840,3328
4392470_24_16_0_5_lightning_qubit.qasm,3448,4544
4392470_24_4_0_125_lightning_qubit.qasm,424,224
4392470_24_4_0_25_lightning_qubit.qasm,620,616
4392470_24_4_0_375_lightning_qubit.qasm,696,768
4392470_24_4_0_5_lightning_qubit.qasm,912,1200
4392470_24_64_0_125_lightning_qubit.qasm,7064,4864
4392470_24_64_0_25_lightning_qubit.qasm,9176,9088
4392470_24_64_0_375_lightning_qubit.qasm,11096,12928
4392470_24_64_0_5_lightning_qubit.qasm,14104,18944
4392471_10_1_0_125_lightning_qubit.qasm,46,12
4392471_10_1_0_25_lightning_qubit.qasm,52,24
4392471_10_1_0_375_lightning_qubit.qasm,55,30
4392471_10_1_0_5_lightning_qubit.qasm,62,44
4392471_10_16_0_125_lightning_qubit.qasm,586,192
4392471_10_16_0_25_lightning_qubit.qasm,714,448
4392471_10_16_0_375_lightning_qubit.qasm,714,448
4392471_10_16_0_5_lightning_qubit.qasm,826,672
4392471_10_4_0_125_lightning_qubit.qasm,158,56
4392471_10_4_0_25_lightning_qubit.qasm,162,64
4392471_10_4_0_375_lightning_qubit.qasm,202,144
4392471_10_4_0_5_lightning_qubit.qasm,238,216
4392471_10_64_0_125_lightning_qubit.qasm,2378,896
4392471_10_64_0_25_lightning_qubit.qasm,2890,1920
4392471_10_64_0_5_lightning_qubit.qasm,2890,1920
4392471_16_1_0_125_lightning_qubit.qasm,81,34
4392471_16_1_0_25_lightning_qubit.qasm,87,46
4392471_16_1_0_375_lightning_qubit.qasm,115,102
4392471_16_1_0_5_lightning_qubit.qasm,132,136
4392471_16_16_0_125_lightning_qubit.qasm,960,352
4392471_16_16_0_25_lightning_qubit.qasm,1264,960
4392471_16_16_0_375_lightning_qubit.qasm,1392,1216
4392471_16_16_0_5_lightning_qubit.qasm,1632,1696
4392471_16_4_0_125_lightning_qubit.qasm,252,88
4392471_16_4_0_25_lightning_qubit.qasm,332,248
4392471_16_4_0_375_lightning_qubit.qasm,344,272
4392471_16_4_0_5_lightning_qubit.qasm,468,520
4392471_16_64_0_125_lightning_qubit.qasm,4176,2176
4392471_16_64_0_25_lightning_qubit.qasm,5072,3968
4392471_16_64_0_375_lightning_qubit.qasm,5584,4992
4392471_16_64_0_5_lightning_qubit.qasm,6480,6784
4392471_20_1_0_125_lightning_qubit.qasm,104,48
4392471_20_1_0_25_lightning_qubit.qasm,130,100
4392471_20_1_0_375_lightning_qubit.qasm,154,148
4392471_20_1_0_5_lightning_qubit.qasm,176,192
4392471_20_16_0_125_lightning_qubit.qasm,1332,704
4392471_20_16_0_25_lightning_qubit.qasm,1796,1632
4392471_20_16_0_375_lightning_qubit.qasm,2212,2464
4392471_20_16_0_5_lightning_qubit.qasm,2388,2816
4392471_20_4_0_125_lightning_qubit.qasm,320,120
4392471_20_4_0_25_lightning_qubit.qasm,452,384
4392471_20_4_0_375_lightning_qubit.qasm,580,640
4392471_20_4_0_5_lightning_qubit.qasm,668,816
4392471_20_64_0_125_lightning_qubit.qasm,5524,3328
4392471_20_64_0_25_lightning_qubit.qasm,7124,6528
4392471_20_64_0_375_lightning_qubit.qasm,9044,10368
4392471_20_64_0_5_lightning_qubit.qasm,9684,11648
4392471_24_1_0_125_lightning_qubit.qasm,137,82
4392471_24_1_0_25_lightning_qubit.qasm,173,154
4392471_24_1_0_375_lightning_qubit.qasm,199,206
4392471_24_1_0_5_lightning_qubit.qasm,209,226
4392471_24_16_0_125_lightning_qubit.qasm,1704,1056
4392471_24_16_0_25_lightning_qubit.qasm,2264,2176
4392471_24_16_0_375_lightning_qubit.qasm,2840,3328
4392471_24_16_0_5_lightning_qubit.qasm,3448,4544
4392471_24_4_0_125_lightning_qubit.qasm,424,224
4392471_24_4_0_25_lightning_qubit.qasm,620,616
4392471_24_4_0_375_lightning_qubit.qasm,696,768
4392471_24_4_0_5_lightning_qubit.qasm,912,1200
4392471_24_64_0_125_lightning_qubit.qasm,7064,4864
4392471_24_64_0_25_lightning_qubit.qasm,9176,9088
4392471_24_64_0_375_lightning_qubit.qasm,11096,12928
4392471_24_64_0_5_lightning_qubit.qasm,14104,18944
4392472_10_1_0_125_lightning_qubit.qasm,46,12
4392472_10_1_0_25_lightning_qubit.qasm,52,24
4392472_10_1_0_375_lightning_qubit.qasm,55,30
4392472_10_1_0_5_lightning_qubit.qasm,62,44
4392472_10_16_0_125_lightning_qubit.qasm,586,192
4392472_10_16_0_25_lightning_qubit.qasm,714,448
4392472_10_16_0_375_lightning_qubit.qasm,714,448
4392472_10_16_0_5_lightning_qubit.qasm,826,672
4392472_10_4_0_125_lightning_qubit.qasm,158,56
4392472_10_4_0_25_lightning_qubit.qasm,162,64
4392472_10_4_0_375_lightning_qubit.qasm,202,144
4392472_10_4_0_5_lightning_qubit.qasm,238,216
4392472_10_64_0_125_lightning_qubit.qasm,2378,896
4392472_10_64_0_25_lightning_qubit.qasm,2890,1920
4392472_10_64_0_375_lightning_qubit.qasm,3082,2304
4392472_10_64_0_5_lightning_qubit.qasm,2890,1920
4392472_16_1_0_125_lightning_qubit.qasm,81,34
4392472_16_1_0_25_lightning_qubit.qasm,87,46
4392472_16_1_0_375_lightning_qubit.qasm,115,102
4392472_16_1_0_5_lightning_qubit.qasm,132,136
4392472_16_16_0_125_lightning_qubit.qasm,960,352
4392472_16_16_0_25_lightning_qubit.qasm,1264,960
4392472_16_16_0_375_lightning_qubit.qasm,1392,1216
4392472_16_16_0_5_lightning_qubit.qasm,1632,1696
4392472_16_4_0_125_lightning_qubit.qasm,252,88
4392472_16_4_0_25_lightning_qubit.qasm,332,248
4392472_16_4_0_375_lightning_qubit.qasm,344,272
4392472_16_4_0_5_lightning_qubit.qasm,468,520
4392472_16_64_0_125_lightning_qubit.qasm,4176,2176
4392472_16_64_0_25_lightning_qubit.qasm,5072,3968
4392472_16_64_0_375_lightning_qubit.qasm,5584,4992
4392472_16_64_0_5_lightning_qubit.qasm,6480,6784
4392472_20_1_0_125_lightning_qubit.qasm,104,48
4392472_20_1_0_25_lightning_qubit.qasm,130,100
4392472_20_1_0_375_lightning_qubit.qasm,154,148
4392472_20_1_0_5_lightning_qubit.qasm,176,192
4392472_20_16_0_125_lightning_qubit.qasm,1332,704
4392472_20_16_0_25_lightning_qubit.qasm,1796,1632
4392472_20_16_0_375_lightning_qubit.qasm,2212,2464
4392472_20_16_0_5_lightning_qubit.qasm,2388,2816
4392472_20_4_0_125_lightning_qubit.qasm,320,120
4392472_20_4_0_25_lightning_qubit.qasm,452,384
4392472_20_4_0_375_lightning_qubit.qasm,580,640
4392472_20_4_0_5_lightning_qubit.qasm,668,816
4392472_20_64_0_125_lightning_qubit.qasm,5524,3328
4392472_20_64_0_25_lightning_qubit.qasm,7124,6528
4392472_20_64_0_375_lightning_qubit.qasm,9044,10368
4392472_20_64_0_5_lightning_qubit.qasm,9684,11648
4392472_24_1_0_125_lightning_qubit.qasm,137,82
4392472_24_1_0_25_lightning_qubit.qasm,173,154
4392472_24_1_0_375_lightning_qubit.qasm,199,206
4392472_24_1_0_5_lightning_qubit.qasm,209,226
4392472_24_16_0_125_lightning_qubit.qasm,1704,1056
4392472_24_16_0_25_lightning_qubit.qasm,2264,2176
4392472_24_16_0_375_lightning_qubit.qasm,2840,3328
4392472_24_16_0_5_lightning_qubit.qasm,3448,4544
4392472_24_4_0_125_lightning_qubit.qasm,424,224
4392472_24_4_0_25_lightning_qubit.qasm,620,616
4392472_24_4_0_375_lightning_qubit.qasm,696,768
4392472_24_4_0_5_lightning_qubit.qasm,912,1200
4392472_24_64_0_125_lightning_qubit.qasm,7064,4864
4392472_24_64_0_25_lightning_qubit.qasm,9176,9088
4392472_24_64_0_375_lightning_qubit.qasm,11096,12928
4392472_24_64_0_5_lightning_qubit.qasm,14104,18944
4392473_10_1_0_125_lightning_qubit.qasm,46,12
4392473_10_1_0_25_lightning_qubit.qasm,52,24
4392473_10_1_0_375_lightning_qubit.qasm,55,30
4392473_10_1_0_5_lightning_qubit.qasm,62,44
4392473_10_16_0_125_lightning_qubit.qasm,586,192
4392473_10_16_0_25_lightning_qubit.qasm,714,448
4392473_10_16_0_375_lightning_qubit.qasm,714,448
4392473_10_16_0_5_lightning_qubit.qasm,826,672
4392473_10_4_0_125_lightning_qubit.qasm,158,56
4392473_10_4_0_25_lightning_qubit.qasm,162,64
4392473_10_4_0_375_lightning_qubit.qasm,202,144
4392473_10_4_0_5_lightning_qubit.qasm,238,216
4392473_10_64_0_125_lightning_qubit.qasm,2378,896
4392473_10_64_0_25_lightning_qubit.qasm,2890,1920
4392473_10_64_0_375_lightning_qubit.qasm,3082,2304
4392473_10_64_0_5_lightning_qubit.qasm,2890,1920
4392473_16_1_0_125_lightning_qubit.qasm,81,34
4392473_16_1_0_25_lightning_qubit.qasm,87,46
4392473_16_1_0_375_lightning_qubit.qasm,115,102
4392473_16_1_0_5_lightning_qubit.qasm,132,136
4392473_16_16_0_125_lightning_qubit.qasm,960,352
4392473_16_16_0_25_lightning_qubit.qasm,1264,960
4392473_16_16_0_375_lightning_qubit.qasm,1392,1216
4392473_16_16_0_5_lightning_qubit.qasm,1632,1696
4392473_16_4_0_125_lightning_qubit.qasm,252,88
4392473_16_4_0_25_lightning_qubit.qasm,332,248
4392473_16_4_0_375_lightning_qubit.qasm,344,272
4392473_16_4_0_5_lightning_qubit.qasm,468,520
4392473_16_64_0_125_lightning_qubit.qasm,4176,2176
4392473_16_64_0_25_lightning_qubit.qasm,5072,3968
4392473_16_64_0_375_lightning_qubit.qasm,5584,4992
4392473_16_64_0_5_lightning_qubit.qasm,6480,6784
4392473_20_1_0_125_lightning_qubit.qasm,104,48
4392473_20_1_0_25_lightning_qubit.qasm,130,100
4392473_20_1_0_375_lightning_qubit.qasm,154,148
4392473_20_1_0_5_lightning_qubit.qasm,176,192
4392473_20_16_0_125_lightning_qubit.qasm,1332,704
4392473_20_16_0_25_lightning_qubit.qasm,1796,1632
4392473_20_16_0_375_lightning_qubit.qasm,2212,2464
4392473_20_16_0_5_lightning_qubit.qasm,2388,2816
4392473_20_4_0_125_lightning_qubit.qasm,320,120
4392473_20_4_0_25_lightning_qubit.qasm,452,384
4392473_20_4_0_375_lightning_qubit.qasm,580,640
4392473_20_4_0_5_lightning_qubit.qasm,668,816
4392473_20_64_0_125_lightning_qubit.qasm,5524,3328
4392473_20_64_0_25_lightning_qubit.qasm,7124,6528
4392473_20_64_0_375_lightning_qubit.qasm,9044,10368
4392473_20_64_0_5_lightning_qubit.qasm,9684,11648
4392473_24_1_0_125_lightning_qubit.qasm,137,82
4392473_24_1_0_25_lightning_qubit.qasm,173,154
4392473_24_1_0_375_lightning_qubit.qasm,199,206
4392473_24_1_0_5_lightning_qubit.qasm,209,226
4392473_24_16_0_125_lightning_qubit.qasm,1704,1056
4392473_24_16_0_25_lightning_qubit.qasm,2264,2176
4392473_24_16_0_375_lightning_qubit.qasm,2840,3328
4392473_24_16_0_5_lightning_qubit.qasm,3448,4544
4392473_24_4_0_125_lightning_qubit.qasm,424,224
4392473_24_4_0_25_lightning_qubit.qasm,620,616
4392473_24_4_0_375_lightning_qubit.qasm,696,768
4392473_24_4_0_5_lightning_qubit.qasm,912,1200
4392473_24_64_0_125_lightning_qubit.qasm,7064,4864
4392473_24_64_0_25_lightning_qubit.qasm,9176,9088
4392473_24_64_0_375_lightning_qubit.qasm,11096,12928
4392473_24_64_0_5_lightning_qubit.qasm,14104,18944
4392476_10_1_0_125_qiskit_aer_openmp.qasm,46,12
4392476_10_1_0_25_qiskit_aer_openmp.qasm,52,24
4392476_10_1_0_375_qiskit_aer_openmp.qasm,55,30
4392476_10_1_0_5_qiskit_aer_openmp.qasm,62,44
4392476_10_16_0_125_qiskit_aer_openmp.qasm,586,192
4392476_10_16_0_25_qiskit_aer_openmp.qasm,714,448
4392476_10_16_0_375_qiskit_aer_openmp.qasm,714,448
4392476_10_16_0_5_qiskit_aer_openmp.qasm,826,672
4392476_10_4_0_125_qiskit_aer_openmp.qasm,158,56
4392476_10_4_0_25_qiskit_aer_openmp.qasm,162,64
4392476_10_4_0_375_qiskit_aer_openmp.qasm,202,144
4392476_10_4_0_5_qiskit_aer_openmp.qasm,238,216
4392476_10_64_0_125_qiskit_aer_openmp.qasm,2378,896
4392476_10_64_0_25_qiskit_aer_openmp.qasm,2890,1920
4392476_10_64_0_375_qiskit_aer_openmp.qasm,3082,2304
4392476_10_64_0_5_qiskit_aer_openmp.qasm,2890,1920
4392476_16_1_0_125_qiskit_aer_openmp.qasm,81,34
4392476_16_1_0_25_qiskit_aer_openmp.qasm,87,46
4392476_16_1_0_375_qiskit_aer_openmp.qasm,115,102
4392476_16_1_0_5_qiskit_aer_openmp.qasm,132,136
4392476_16_16_0_125_qiskit_aer_openmp.qasm,960,352
4392476_16_16_0_25_qiskit_aer_openmp.qasm,1264,960
4392476_16_16_0_375_qiskit_aer_openmp.qasm,1392,1216
4392476_16_16_0_5_qiskit_aer_openmp.qasm,1632,1696
4392476_16_4_0_125_qiskit_aer_openmp.qasm,252,88
4392476_16_4_0_25_qiskit_aer_openmp.qasm,332,248
4392476_16_4_0_375_qiskit_aer_openmp.qasm,344,272
4392476_16_4_0_5_qiskit_aer_openmp.qasm,468,520
4392476_16_64_0_125_qiskit_aer_openmp.qasm,4176,2176
4392476_16_64_0_25_qiskit_aer_openmp.qasm,5072,3968
4392476_16_64_0_375_qiskit_aer_openmp.qasm,5584,4992
4392476_16_64_0_5_qiskit_aer_openmp.qasm,6480,6784
4392476_20_1_0_125_qiskit_aer_openmp.qasm,104,48
4392476_20_1_0_25_qiskit_aer_openmp.qasm,130,100
4392476_20_1_0_375_qiskit_aer_openmp.qasm,154,148
4392476_20_1_0_5_qiskit_aer_openmp.qasm,176,192
4392476_20_16_0_125_qiskit_aer_openmp.qasm,1332,704
4392476_20_16_0_25_qiskit_aer_openmp.qasm,1796,1632
4392476_20_4_0_125_qiskit_aer_openmp.qasm,320,120
4392476_20_4_0_25_qiskit_aer_openmp.qasm,452,384
4392476_20_4_0_375_qiskit_aer_openmp.qasm,580,640
4392476_20_64_0_125_qiskit_aer_openmp.qasm,5524,3328
4392477_10_1_0_125_qiskit_aer_openmp.qasm,46,12
4392477_10_1_0_25_qiskit_aer_openmp.qasm,52,24
4392477_10_1_0_375_qiskit_aer_openmp.qasm,55,30
4392477_10_1_0_5_qiskit_aer_openmp.qasm,62,44
4392477_10_16_0_125_qiskit_aer_openmp.qasm,586,192
4392477_10_16_0_25_qiskit_aer_openmp.qasm,714,448
4392477_10_16_0_375_qiskit_aer_openmp.qasm,714,448
4392477_10_16_0_5_qiskit_aer_openmp.qasm,826,672
4392477_10_4_0_125_qiskit_aer_openmp.qasm,158,56
4392477_10_4_0_25_qiskit_aer_openmp.qasm,162,64
4392477_10_4_0_375_qiskit_aer_openmp.qasm,202,144
4392477_10_4_0_5_qiskit_aer_openmp.qasm,238,216
4392477_10_64_0_125_qiskit_aer_openmp.qasm,2378,896
4392477_10_64_0_25_qiskit_aer_openmp.qasm,2890,1920
4392477_10_64_0_375_qiskit_aer_openmp.qasm,3082,2304
4392477_10_64_0_5_qiskit_aer_openmp.qasm,2890,1920
4392477_16_1_0_125_qiskit_aer_openmp.qasm,81,34
4392477_16_1_0_25_qiskit_aer_openmp.qasm,87,46
4392477_16_1_0_375_qiskit_aer_openmp.qasm,115,102
4392477_16_1_0_5_qiskit_aer_openmp.qasm,132,136
4392477_16_16_0_125_qiskit_aer_openmp.qasm,960,352
4392477_16_16_0_25_qiskit_aer_openmp.qasm,1264,960
4392477_16_16_0_375_qiskit_aer_openmp.qasm,1392,1216
4392477_16_16_0_5_qiskit_aer_openmp.qasm,1632,1696
4392477_16_4_0_125_qiskit_aer_openmp.qasm,252,88
4392477_16_4_0_25_qiskit_aer_openmp.qasm,332,248
4392477_16_4_0_375_qiskit_aer_openmp.qasm,344,272
4392477_16_4_0_5_qiskit_aer_openmp.qasm,468,520
4392477_16_64_0_125_qiskit_aer_openmp.qasm,4176,2176
4392477_16_64_0_25_qiskit_aer_openmp.qasm,5072,3968
4392477_16_64_0_375_qiskit_aer_openmp.qasm,5584,4992
4392477_16_64_0_5_qiskit_aer_openmp.qasm,6480,6784
4392477_20_1_0_125_qiskit_aer_openmp.qasm,104,48
4392477_20_1_0_25_qiskit_aer_openmp.qasm,130,100
4392477_20_1_0_375_qiskit_aer_openmp.qasm,154,148
4392477_20_1_0_5_qiskit_aer_openmp.qasm,176,192
4392477_20_16_0_125_qiskit_aer_openmp.qasm,1332,704
4392477_20_16_0_25_qiskit_aer_openmp.qasm,1796,1632
4392477_20_16_0_375_qiskit_aer_openmp.qasm,2212,2464
4392477_20_16_0_5_qiskit_aer_openmp.qasm,2388,2816
4392477_20_4_0_125_qiskit_aer_openmp.qasm,320,120
4392477_20_4_0_25_qiskit_aer_openmp.qasm,452,384
4392477_20_4_0_375_qiskit_aer_openmp.qasm,580,640
4392477_20_4_0_5_qiskit_aer_openmp.qasm,668,816
4392477_20_64_0_125_qiskit_aer_openmp.qasm,5524,3328
4392477_20_64_0_25_qiskit_aer_openmp.qasm,7124,6528
4392478_10_1_0_125_qiskit_aer_openmp.qasm,46,12
4392478_10_1_0_25_qiskit_aer_openmp.qasm,52,24
4392478_10_1_0_375_qiskit_aer_openmp.qasm,55,30
4392478_10_1_0_5_qiskit_aer_openmp.qasm,62,44
4392478_10_16_0_125_qiskit_aer_openmp.qasm,586,192
4392478_10_16_0_25_qiskit_aer_openmp.qasm,714,448
4392478_10_16_0_375_qiskit_aer_openmp.qasm,714,448
4392478_10_16_0_5_qiskit_aer_openmp.qasm,826,672
4392478_10_4_0_125_qiskit_aer_openmp.qasm,158,56
4392478_10_4_0_25_qiskit_aer_openmp.qasm,162,64
4392478_10_4_0_375_qiskit_aer_openmp.qasm,202,144
4392478_10_4_0_5_qiskit_aer_openmp.qasm,238,216
4392478_10_64_0_125_qiskit_aer_openmp.qasm,2378,896
4392478_10_64_0_25_qiskit_aer_openmp.qasm,2890,1920
4392478_10_64_0_375_qiskit_aer_openmp.qasm,3082,2304
4392478_10_64_0_5_qiskit_aer_openmp.qasm,2890,1920
4392478_16_1_0_125_qiskit_aer_openmp.qasm,81,34
4392478_16_1_0_25_qiskit_aer_openmp.qasm,87,46
4392478_16_1_0_375_qiskit_aer_openmp.qasm,115,102
4392478_16_1_0_5_qiskit_aer_openmp.qasm,132,136
4392478_16_16_0_125_qiskit_aer_openmp.qasm,960,352
4392478_16_16_0_25_qiskit_aer_openmp.qasm,1264,960
4392478_16_16_0_375_qiskit_aer_openmp.qasm,1392,1216
4392478_16_16_0_5_qiskit_aer_openmp.qasm,1632,1696
4392478_16_4_0_125_qiskit_aer_openmp.qasm,252,88
4392478_16_4_0_25_qiskit_aer_openmp.qasm,332,248
4392478_16_4_0_375_qiskit_aer_openmp.qasm,344,272
4392478_16_4_0_5_qiskit_aer_openmp.qasm,468,520
4392478_16_64_0_125_qiskit_aer_openmp.qasm,4176,2176
4392478_16_64_0_25_qiskit_aer_openmp.qasm,5072,3968
4392478_16_64_0_375_qiskit_aer_openmp.qasm,5584,4992
4392478_16_64_0_5_qiskit_aer_openmp.qasm,6480,6784
4392478_20_1_0_125_qiskit_aer_openmp.qasm,104,48
4392478_20_1_0_25_qiskit_aer_openmp.qasm,130,100
4392478_20_1_0_375_qiskit_aer_openmp.qasm,154,148
4392478_20_1_0_5_qiskit_aer_openmp.qasm,176,192
4392478_20_16_0_125_qiskit_aer_openmp.qasm,1332,704
4392478_20_16_0_25_qiskit_aer_openmp.qasm,1796,1632
4392478_20_16_0_375_qiskit_aer_openmp.qasm,2212,2464
4392478_20_16_0_5_qiskit_aer_openmp.qasm,2388,2816
4392478_20_4_0_125_qiskit_aer_openmp.qasm,320,120
4392478_20_4_0_25_qiskit_aer_openmp.qasm,452,384
4392478_20_4_0_375_qiskit_aer_openmp.qasm,580,640
4392478_20_4_0_5_qiskit_aer_openmp.qasm,668,816
4392478_20_64_0_125_qiskit_aer_openmp.qasm,5524,3328
4392478_20_64_0_25_qiskit_aer_openmp.qasm,7124,6528
4392478_20_64_0_375_qiskit_aer_openmp.qasm,9044,10368
4392478_20_64_0_5_qiskit_aer_openmp.qasm,9684,11648
4392479_10_1_0_125_qiskit_aer_openmp.qasm,46,12
4392479_10_1_0_25_qiskit_aer_openmp.qasm,52,24
4392479_10_1_0_375_qiskit_aer_openmp.qasm,55,30
4392479_10_1_0_5_qiskit_aer_openmp.qasm,62,44
4392479_10_16_0_125_qiskit_aer_openmp.qasm,586,192
4392479_10_16_0_25_qiskit_aer_openmp.qasm,714,448
4392479_10_16_0_375_qiskit_aer_openmp.qasm,714,448
4392479_10_16_0_5_qiskit_aer_openmp.qasm,826,672
4392479_10_4_0_125_qiskit_aer_openmp.qasm,158,56
4392479_10_4_0_25_qiskit_aer_openmp.qasm,162,64
4392479_10_4_0_375_qiskit_aer_openmp.qasm,202,144
4392479_10_4_0_5_qiskit_aer_openmp.qasm,238,216
4392479_10_64_0_125_qiskit_aer_openmp.qasm,2378,896
4392479_10_64_0_25_qiskit_aer_openmp.qasm,2890,1920
4392479_10_64_0_375_qiskit_aer_openmp.qasm,3082,2304
4392479_10_64_0_5_qiskit_aer_openmp.qasm,2890,1920
4392479_16_1_0_125_qiskit_aer_openmp.qasm,81,34
4392479_16_1_0_25_qiskit_aer_openmp.qasm,87,46
4392479_16_1_0_375_qiskit_aer_openmp.qasm,115,102
4392479_16_1_0_5_qiskit_aer_openmp.qasm,132,136
4392479_16_16_0_125_qiskit_aer_openmp.qasm,960,352
4392479_16_16_0_25_qiskit_aer_openmp.qasm,1264,960
4392479_16_16_0_375_qiskit_aer_openmp.qasm,1392,1216
4392479_16_16_0_5_qiskit_aer_openmp.qasm,1632,1696
4392479_16_4_0_125_qiskit_aer_openmp.qasm,252,88
4392479_16_4_0_25_qiskit_aer_openmp.qasm,332,248
4392479_16_4_0_375_qiskit_aer_openmp.qasm,344,272
4392479_16_4_0_5_qiskit_aer_openmp.qasm,468,520
4392479_16_64_0_125_qiskit_aer_openmp.qasm,4176,2176
4392479_16_64_0_25_qiskit_aer_openmp.qasm,5072,3968
4392479_16_64_0_375_qiskit_aer_openmp.qasm,5584,4992
4392479_16_64_0_5_qiskit_aer_openmp.qasm,6480,6784
4392479_20_1_0_125_qiskit_aer_openmp.qasm,104,48
4392479_20_1_0_25_qiskit_aer_openmp.qasm,130,100
4392479_20_1_0_375_qiskit_aer_openmp.qasm,154,148
4392479_20_1_0_5_qiskit_aer_openmp.qasm,176,192
4392479_20_16_0_125_qiskit_aer_openmp.qasm,1332,704
4392479_20_16_0_25_qiskit_aer_openmp.qasm,1796,1632
4392479_20_16_0_375_qiskit_aer_openmp.qasm,2212,2464
4392479_20_16_0_5_qiskit_aer_openmp.qasm,2388,2816
4392479_20_4_0_125_qiskit_aer_openmp.qasm,320,120
4392479_20_4_0_25_qiskit_aer_openmp.qasm,452,384
4392479_20_4_0_375_qiskit_aer_openmp.qasm,580,640
4392479_20_4_0_5_qiskit_aer_openmp.qasm,668,816
4392479_20_64_0_125_qiskit_aer_openmp.qasm,5524,3328
4392479_20_64_0_25_qiskit_aer_openmp.qasm,7124,6528
4392479_20_64_0_375_qiskit_aer_openmp.qasm,9044,10368
4392479_20_64_0_5_qiskit_aer_openmp.qasm,9684,11648
4392479_24_1_0_125_qiskit_aer_openmp.qasm,137,82
4392479_24_16_0_125_qiskit_aer_openmp.qasm,1704,1056
4392479_24_4_0_125_qiskit_aer_openmp.qasm,424,224
4392479_24_64_0_125_qiskit_aer_openmp.qasm,7064,4864
4392480_10_1_0_125_qiskit_aer_openmp.qasm,46,12
4392480_10_1_0_25_qiskit_aer_openmp.qasm,52,24
4392480_10_1_0_375_qiskit_aer_openmp.qasm,55,30
4392480_10_1_0_5_qiskit_aer_openmp.qasm,62,44
4392480_10_16_0_125_qiskit_aer_openmp.qasm,586,192
4392480_10_16_0_25_qiskit_aer_openmp.qasm,714,448
4392480_10_16_0_375_qiskit_aer_openmp.qasm,714,448
4392480_10_16_0_5_qiskit_aer_openmp.qasm,826,672
4392480_10_4_0_125_qiskit_aer_openmp.qasm,158,56
4392480_10_4_0_25_qiskit_aer_openmp.qasm,162,64
4392480_10_4_0_375_qiskit_aer_openmp.qasm,202,144
4392480_10_4_0_5_qiskit_aer_openmp.qasm,238,216
4392480_10_64_0_125_qiskit_aer_openmp.qasm,2378,896
4392480_10_64_0_25_qiskit_aer_openmp.qasm,2890,1920
4392480_10_64_0_375_qiskit_aer_openmp.qasm,3082,2304
4392480_10_64_0_5_qiskit_aer_openmp.qasm,2890,1920
4392480_16_1_0_125_qiskit_aer_openmp.qasm,81,34
4392480_16_1_0_25_qiskit_aer_openmp.qasm,87,46
4392480_16_1_0_375_qiskit_aer_openmp.qasm,115,102
4392480_16_1_0_5_qiskit_aer_openmp.qasm,132,136
4392480_16_16_0_125_qiskit_aer_openmp.qasm,960,352
4392480_16_16_0_25_qiskit_aer_openmp.qasm,1264,960
4392480_16_16_0_375_qiskit_aer_openmp.qasm,1392,1216
