repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,gate_depth,one_qubit_gates,two_qubit_gates,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,1,100,-2.9422975785320147,0.9896011352539062,0.8151645660400391,94,34,68,2.695404970,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,2,100,-5.0328042689318675,1.7732553482055664,1.5135273933410645,187,64,136,3.463492142,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,4,100,-4.159114960509756,3.3510630130767822,2.7889561653137207,373,124,272,5.260810785,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,8,100,5.313177033282132,7.037050247192383,5.4213738441467285,745,244,544,8.193643562,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,16,100,-8.079277033374904,16.08935856819153,10.112138509750366,1489,484,1088,17.343753274,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,4,32,100,-3.9465384817018174,42.94078993797302,20.73789405822754,2977,964,2176,44.161185514,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,1,100,-7.860609924640149,1.960749626159668,1.662581205368042,94,68,136,3.212948844,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,2,100,-11.494476614866787,3.7344021797180176,3.0771868228912354,187,128,272,4.889643468,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,4,100,-18.88142900484858,7.675668478012085,5.808768033981323,373,248,544,8.829442870,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,8,100,-4.467283907766738,17.396209716796875,10.74628210067749,745,488,1088,18.638685842,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,16,100,-19.12452072813373,43.74977254867554,21.054821014404297,1489,968,2176,44.952123378,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,8,32,100,12.03513577508282,128.58183884620667,42.70057153701782,2977,1928,4352,129.817869516,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,12,1,100,-7.605514656040654,3.054274797439575,2.5127604007720947,94,102,204,4.227087041,1,64,0
2,qmoa_complete_ST_evolution_QFT,lightning.qubit,12,2,100,-7.51232231092467,6.060755252838135,4.679664611816406,187,192,408,7.233992815,1,64,0
