repeat,ansatz,backend,qubits,depth,n_expval,last_expval,func_time,gate_depth,one_qubit_gates,two_qubit_gates,circuit_time,wall_time,n_nodes,n_cpus,n_gpus
2,qaoa_hypercube_maxcut_evolution,default.qubit,7,16,100,-0.5258930715051158,7.621502161026001,7.591118097305298,97,359,32,8.697545619,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,7,32,100,-0.6517401644548422,14.809480667114258,14.71329927444458,193,711,64,15.909281745,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,8,1,100,-0.03192008250120047,1.0623526573181152,1.0567095279693604,7,33,2,2.161722553,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,8,2,100,-0.8565739571158407,1.5425150394439697,1.535546064376831,13,58,4,2.601660310,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,8,4,100,-0.08700670997587183,2.610172748565674,2.599905490875244,25,108,8,3.667021268,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,8,8,100,-0.8356068075518539,4.6629111766815186,4.646159887313843,49,208,16,5.741132971,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,8,16,100,-0.5258930715051094,8.469901323318481,8.436821699142456,97,408,32,9.545441601,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,8,32,100,-0.6517401644548358,16.41451907157898,16.3334538936615,193,808,64,17.491078285,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,9,1,100,-0.03192008250120025,1.1043386459350586,1.098705530166626,7,37,2,2.175793142,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,9,2,100,-0.8565739571158401,1.6820733547210693,1.6748783588409424,13,65,4,2.777648363,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,9,4,100,-0.08700670997587076,2.8434102535247803,2.8328771591186523,25,121,8,3.885609402,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,9,8,100,-0.8356068075518476,5.1353466510772705,5.117116451263428,49,233,16,6.181339776,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,9,16,100,-0.5258930715051087,9.589375972747803,9.552763223648071,97,457,32,10.642764764,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,9,32,100,-0.6517401644548242,18.706734657287598,18.594955444335938,193,905,64,19.797443284,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,10,1,100,-0.03192008250120017,1.217376470565796,1.211613655090332,7,41,2,2.260891212,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,10,2,100,-0.8565739571158291,1.8718907833099365,1.864234447479248,13,72,4,2.946169824,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,10,4,100,-0.08700670997587182,3.1016652584075928,3.0905797481536865,25,134,8,4.181959169,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,10,8,100,-0.8356068075518532,5.772171258926392,5.752336740493774,49,258,16,6.838049521,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,10,16,100,-0.5258930715051016,10.637556791305542,10.59416913986206,97,506,32,11.713114211,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,10,32,100,-0.6517401644548146,20.811829805374146,20.70490598678589,193,1002,64,21.837663161,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,11,1,100,-0.031920082501201,1.342712163925171,1.336496114730835,7,45,2,2.425628051,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,11,2,100,-0.8565739571158447,2.074336290359497,2.066352367401123,13,79,4,3.104547379,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,11,4,100,-0.08700670997587101,3.524357318878174,3.5123608112335205,25,147,8,4.742816731,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,11,8,100,-0.8356068075518384,6.387002229690552,6.3653645515441895,49,283,16,7.564822477,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,11,16,100,-0.5258930715051007,11.993598222732544,11.947747230529785,97,555,32,13.134122286,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,11,32,100,-0.6517401644548146,23.832377433776855,23.71445608139038,193,1099,64,24.909503888,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,12,1,100,-0.03192008250120139,1.5561251640319824,1.549731969833374,7,49,2,2.615741626,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,12,2,100,-0.8565739571158569,2.4173262119293213,2.408541202545166,13,86,4,3.482305696,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,12,4,100,-0.08700670997586905,4.033253192901611,4.02009654045105,25,160,8,5.116801345,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,12,8,100,-0.8356068075518254,7.567410945892334,7.544187307357788,49,308,16,8.658653913,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,12,16,100,-0.5258930715051252,14.671137571334839,14.617421865463257,97,604,32,15.770899533,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,12,32,100,-0.6517401644548295,28.36641573905945,28.22639560699463,193,1196,64,29.482894919,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,13,1,100,-0.03192008250120131,1.9286773204803467,1.921811819076538,7,53,2,3.017169295,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,13,2,100,-0.8565739571158637,3.0030200481414795,2.994075298309326,13,93,4,4.105123893,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,13,4,100,-0.08700670997586744,5.079152584075928,5.06587290763855,25,173,8,6.201043407,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,13,8,100,-0.8356068075518146,9.310434341430664,9.285132884979248,49,333,16,10.401523514,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,13,16,100,-0.5258930715051273,18.003942012786865,17.931936979293823,97,653,32,19.633943548,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,13,32,100,-0.6517401644547862,34.381134033203125,34.22897028923035,193,1293,64,35.460690536,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,14,1,100,-0.031920082501194456,2.3816070556640625,2.3750672340393066,7,57,2,3.452773559,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,14,2,100,-0.8565739571158668,3.8168344497680664,3.8079540729522705,13,100,4,4.892963326,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,14,4,100,-0.08700670997586761,6.592160940170288,6.578075885772705,25,186,8,7.654322550,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,14,8,100,-0.8356068075518135,12.195868492126465,12.16884446144104,49,358,16,13.253106869,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,14,16,100,-0.5258930715050348,23.371466875076294,23.311240673065186,97,702,32,24.446702132,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,14,32,100,-0.6517401644547993,45.763935804367065,45.59685564041138,193,1390,64,46.796697379,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,15,1,100,-0.031920082501191036,3.4824230670928955,3.475428342819214,7,61,2,4.583877391,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,15,2,100,-0.8565739571154899,5.556168794631958,5.547062635421753,13,107,4,6.733393502,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,15,4,100,-0.08700670997586721,9.595216751098633,9.580461978912354,25,199,8,10.633212403,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,15,8,100,-0.8356068075518129,17.837527751922607,17.807776927947998,49,383,16,18.942625987,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,15,16,100,-0.5258930715051623,34.173845291137695,34.08853197097778,97,751,32,35.249639138,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,15,32,100,-0.651740164454726,68.05865335464478,67.85271120071411,193,1487,64,69.137087604,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,16,1,100,-0.06384016500244034,6.182737588882446,6.173243045806885,7,66,4,7.270111493,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,16,2,100,-1.7131479142313866,9.688307762145996,9.676645278930664,13,116,8,10.767287982,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,16,4,100,-0.17401341995167388,16.731688022613525,16.71334743499756,25,216,16,17.820764525,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,16,8,100,-1.6712136151041586,31.030468940734863,30.995304584503174,49,416,32,32.415868134,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,16,16,100,-1.0517861430098563,59.28743290901184,59.20539999008179,97,816,64,60.359478119,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,16,32,100,-1.303480328908883,116.01178908348083,115.76779413223267,193,1616,128,117.113182998,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,17,1,100,-0.06384016500241162,11.412220478057861,11.403058528900146,7,70,4,12.502863685,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,17,2,100,-1.713147914229128,17.786699533462524,17.774503469467163,13,123,8,18.900019834,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,17,4,100,-0.17401341995186098,30.456387519836426,30.41724467277527,25,229,16,31.583533960,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,17,8,100,-1.6712136151038945,55.61498761177063,55.559436082839966,49,441,32,56.750246264,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,17,16,100,-1.0517861430108444,106.63010859489441,106.54555130004883,97,865,64,107.736390168,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,17,32,100,-1.3034803289111383,208.73338651657104,208.46833062171936,193,1713,128,209.825921699,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,18,1,100,-0.095760247503752,23.965686559677124,23.955095052719116,7,75,6,25.064676540,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,18,2,100,-2.5697218713459313,37.35196876525879,37.33762240409851,13,132,12,38.404849669,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,18,4,100,-0.26102012992737106,62.44543123245239,62.423380851745605,25,246,24,63.520537901,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,18,8,100,-2.506820422658498,114.06054520606995,114.0176272392273,49,474,48,115.163044230,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,18,16,100,-1.5776792145177023,216.05606842041016,215.9527132511139,97,930,96,217.156081855,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,18,32,100,-1.9552204933643045,418.85258078575134,418.54939699172974,193,1842,192,419.978672460,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,19,1,100,-0.09576024750441552,46.902382135391235,46.89116978645325,7,79,6,47.979313562,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,19,2,100,-2.5697218713633965,72.621258020401,72.60720801353455,13,139,12,73.705108146,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,19,4,100,-0.2610201299290601,121.91231298446655,121.88904356956482,25,259,24,122.992679469,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,19,8,100,-2.506820422665883,220.8080141544342,220.76215720176697,49,499,48,221.885138272,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,19,16,100,-1.5776792145022769,426.65228033065796,426.5223240852356,97,979,96,427.755306923,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,19,32,100,-1.9552204933608075,850.5370230674744,850.1943111419678,193,1939,192,852.307448895,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,20,1,100,-0.09576024750400935,99.22025275230408,99.20568418502808,7,83,6,100.492317333,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,20,2,100,-2.5697218713841457,155.80733156204224,155.79064297676086,13,146,12,156.955734751,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,20,4,100,-0.2610201299322725,268.25687551498413,268.2302613258362,25,272,24,269.326183630,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,20,8,100,-2.5068204226606423,493.798983335495,493.74839091300964,49,524,48,494.932819104,1,1,0
2,qaoa_hypercube_maxcut_evolution,default.qubit,20,16,100,-1.5776792145101155,927.09059882164,926.9687535762787,97,1028,96,928.246736774,1,1,0
