wall_time,expval,qubits,depth,repeats,backend,graph_sparsity,simulation_time
3.879559445,-1.5812905015825882,10,1,1,lightning.qubit,0.125,0.06344223022460938
1.739353917,-7.139108690601426,10,1,1,lightning.qubit,0.25,0.018882274627685547
1.747363297,-5.704676139899184,10,1,1,lightning.qubit,0.375,0.01500082015991211
1.794021880,-10.217730927626434,10,1,1,lightning.qubit,0.5,0.06595349311828613
1.520174272,-4.293064192013063,10,4,1,lightning.qubit,0.125,0.047773122787475586
1.213104440,-3.8489221676602203,10,4,1,lightning.qubit,0.25,0.024712562561035156
1.280302307,-7.695097259187872,10,4,1,lightning.qubit,0.375,0.028742551803588867
1.303503825,-13.012213041032181,10,4,1,lightning.qubit,0.5,0.03718447685241699
1.273154782,-2.4586014010387442,10,16,1,lightning.qubit,0.125,0.047219038009643555
1.347565030,-6.94862242418446,10,16,1,lightning.qubit,0.25,0.11299729347229004
1.302533743,-6.693179360964144,10,16,1,lightning.qubit,0.375,0.06556320190429688
1.314349276,-10.217607209091694,10,16,1,lightning.qubit,0.5,0.0827341079711914
1.469378010,-3.564892883960314,10,64,1,lightning.qubit,0.125,0.14630651473999023
1.613689448,-7.462549552916499,10,64,1,lightning.qubit,0.25,0.27358531951904297
1.710657475,-8.937034888014209,10,64,1,lightning.qubit,0.375,0.3286473751068115
1.619798879,-7.6096517203547895,10,64,1,lightning.qubit,0.5,0.3173716068267822
1.326390427,-4.679768062632913,16,1,1,lightning.qubit,0.125,0.08249402046203613
1.354636710,-9.45052813141184,16,1,1,lightning.qubit,0.25,0.06668853759765625
1.755870261,-19.584602571742998,16,1,1,lightning.qubit,0.375,0.07685971260070801
2.283061517,-30.959125790958634,16,1,1,lightning.qubit,0.5,0.1075897216796875
1.316451456,-7.841877831586258,16,4,1,lightning.qubit,0.125,0.08057379722595215
1.436061830,-13.076184769735873,16,4,1,lightning.qubit,0.25,0.09872031211853027
1.443107132,-14.988037164762424,16,4,1,lightning.qubit,0.375,0.09848403930664062
2.246089500,-29.688596934664556,16,4,1,lightning.qubit,0.5,0.1460587978363037
1.399479113,-5.7248397347722335,16,16,1,lightning.qubit,0.125,0.14980363845825195
1.586192290,-14.832928887847313,16,16,1,lightning.qubit,0.25,0.2363133430480957
1.702943903,-18.991673877538084,16,16,1,lightning.qubit,0.375,0.23557186126708984
2.062531147,-26.47845534329764,16,16,1,lightning.qubit,0.5,0.3253169059753418
2.026448478,-8.472596633087432,16,64,1,lightning.qubit,0.125,0.559760570526123
2.258827716,-15.470132856122838,16,64,1,lightning.qubit,0.25,0.7558126449584961
2.450196297,-19.459691402473673,16,64,1,lightning.qubit,0.375,0.8654870986938477
2.886507181,-26.53742291735068,16,64,1,lightning.qubit,0.5,1.0232768058776855
1.742880893,-10.538086067288296,20,1,1,lightning.qubit,0.125,0.45313096046447754
2.102204718,-17.75785700398798,20,1,1,lightning.qubit,0.25,0.47592997550964355
3.078531814,-37.04918890480157,20,1,1,lightning.qubit,0.375,0.5182135105133057
4.522411362,-33.44539041214823,20,1,1,lightning.qubit,0.5,0.549713134765625
1.838193623,-7.6706084124714,20,4,1,lightning.qubit,0.125,0.6274058818817139
2.286753218,-19.753586747203677,20,4,1,lightning.qubit,0.25,0.7158780097961426
4.318172912,-39.57584792799325,20,4,1,lightning.qubit,0.375,0.8875141143798828
5.310391884,-45.80888517732103,20,4,1,lightning.qubit,0.5,0.8978254795074463
2.577994239,-10.398888058249216,20,16,1,lightning.qubit,0.125,1.3332669734954834
3.511147657,-25.494385944439728,20,16,1,lightning.qubit,0.25,1.8237850666046143
4.850458827,-38.495462814883304,20,16,1,lightning.qubit,0.375,2.1682372093200684
5.696873373,-43.945280488748615,20,16,1,lightning.qubit,0.5,2.2855961322784424
5.796838978,-12.999606409591365,20,64,1,lightning.qubit,0.125,4.331027030944824
7.516509382,-25.49419423158032,20,64,1,lightning.qubit,0.25,5.685232639312744
10.532704659,-40.49926325434629,20,64,1,lightning.qubit,0.375,7.44834566116333
12.116127331,-45.50310623263388,20,64,1,lightning.qubit,0.5,8.222431659698486
9.196914334,-15.681788960856322,24,1,1,lightning.qubit,0.125,7.757387399673462
11.482434606,-29.86450247480014,24,1,1,lightning.qubit,0.25,8.867585897445679
14.313462322,-50.9604547737086,24,1,1,lightning.qubit,0.375,9.821295738220215
15.519647610,-55.721313712503836,24,1,1,lightning.qubit,0.5,10.06632947921753
14.855720427,-10.82159721439677,24,4,1,lightning.qubit,0.125,13.563878059387207
22.605051477,-37.90390551499281,24,4,1,lightning.qubit,0.25,19.968477725982666
26.079504009,-47.68929311521213,24,4,1,lightning.qubit,0.375,22.153976917266846
40.873364671,-74.40896745547477,24,4,1,lightning.qubit,0.5,28.968798398971558
41.962259824,-16.38194820471117,24,16,1,lightning.qubit,0.125,40.53527283668518
58.057099429,-34.00245100393961,24,16,1,lightning.qubit,0.25,55.76420545578003
77.530832229,-52.00104986226567,24,16,1,lightning.qubit,0.375,72.81792163848877
103.657570765,-70.95921756102847,24,16,1,lightning.qubit,0.5,93.83212280273438
154.560367265,-19.002469575527947,24,64,1,lightning.qubit,0.125,152.93458938598633
217.272655562,-35.498525923143234,24,64,1,lightning.qubit,0.25,214.67081665992737
276.213906950,-50.49947662362616,24,64,1,lightning.qubit,0.375,271.59163093566895
383.764135803,-74.00025885346871,24,64,1,lightning.qubit,0.5,372.72481513023376
