wall_time,expval,qubits,depth,repeats,backend,graph_sparsity,simulation_time
3.847615423,-1.5812905015825882,10,1,1,lightning.qubit,0.125,0.00918436050415039
1.728293623,-7.139108690601426,10,1,1,lightning.qubit,0.25,0.007327079772949219
1.801034165,-5.704676139899184,10,1,1,lightning.qubit,0.375,0.0075457096099853516
1.789587577,-10.217730927626434,10,1,1,lightning.qubit,0.5,0.008885383605957031
1.521729624,-4.2930641920130626,10,4,1,lightning.qubit,0.125,0.012979984283447266
1.217808758,-3.8489221676602208,10,4,1,lightning.qubit,0.25,0.013284921646118164
1.246915203,-7.695097259187873,10,4,1,lightning.qubit,0.375,0.020419597625732422
1.309384820,-13.012213041032181,10,4,1,lightning.qubit,0.5,0.027352333068847656
1.282322768,-2.458601401038744,10,16,1,lightning.qubit,0.125,0.0391080379486084
1.339201919,-6.94862242418446,10,16,1,lightning.qubit,0.25,0.06011819839477539
1.284988801,-6.693179360964144,10,16,1,lightning.qubit,0.375,0.059691667556762695
1.342111929,-10.217607209091696,10,16,1,lightning.qubit,0.5,0.07841730117797852
1.437427083,-3.564892883960314,10,64,1,lightning.qubit,0.125,0.1537489891052246
1.590390800,-7.462549552916499,10,64,1,lightning.qubit,0.25,0.2595491409301758
1.609554293,-8.937034888014209,10,64,1,lightning.qubit,0.375,0.28950977325439453
1.570434947,-7.6096517203547895,10,64,1,lightning.qubit,0.5,0.26598501205444336
1.287926159,-4.679768062632913,16,1,1,lightning.qubit,0.125,0.01826000213623047
1.334292575,-9.450528131411838,16,1,1,lightning.qubit,0.25,0.020157337188720703
1.802520626,-19.584602571742995,16,1,1,lightning.qubit,0.375,0.04994964599609375
2.418622364,-30.959125790958634,16,1,1,lightning.qubit,0.5,0.03571176528930664
1.261943204,-7.84187783158626,16,4,1,lightning.qubit,0.125,0.03641319274902344
1.420523489,-13.076184769735876,16,4,1,lightning.qubit,0.25,0.05716872215270996
1.515544574,-14.988037164762424,16,4,1,lightning.qubit,0.375,0.05822014808654785
2.350613644,-29.68859693466456,16,4,1,lightning.qubit,0.5,0.0883631706237793
1.350228108,-5.724839734772234,16,16,1,lightning.qubit,0.125,0.11510252952575684
1.558040949,-14.832928887847313,16,16,1,lightning.qubit,0.25,0.18313121795654297
1.771761839,-18.991673877538084,16,16,1,lightning.qubit,0.375,0.20970869064331055
2.057911013,-26.47845534329764,16,16,1,lightning.qubit,0.5,0.2857482433319092
1.896763726,-8.472596633087434,16,64,1,lightning.qubit,0.125,0.5285525321960449
2.242787548,-15.470132856122838,16,64,1,lightning.qubit,0.25,0.7208490371704102
2.477485116,-19.45969140247367,16,64,1,lightning.qubit,0.375,0.8804643154144287
3.060134481,-26.53742291735068,16,64,1,lightning.qubit,0.5,1.0614502429962158
1.498267637,-10.538086067288297,20,1,1,lightning.qubit,0.125,0.19583368301391602
1.927207133,-17.75785700398798,20,1,1,lightning.qubit,0.25,0.2578568458557129
2.990754961,-37.04918890480157,20,1,1,lightning.qubit,0.375,0.3258395195007324
4.578778986,-33.44539041214823,20,1,1,lightning.qubit,0.5,0.37362074851989746
1.558500617,-7.670608412471399,20,4,1,lightning.qubit,0.125,0.3350503444671631
2.224264606,-19.753586747203677,20,4,1,lightning.qubit,0.25,0.5122909545898438
4.135855190,-39.57584792799325,20,4,1,lightning.qubit,0.375,0.6901452541351318
5.646605906,-45.80888517732103,20,4,1,lightning.qubit,0.5,0.8289949893951416
2.502745267,-10.398888058249216,20,16,1,lightning.qubit,0.125,1.159785509109497
3.447510213,-25.494385944439728,20,16,1,lightning.qubit,0.25,1.6645176410675049
4.938211895,-38.495462814883304,20,16,1,lightning.qubit,0.375,2.055487632751465
5.967409542,-43.945280488748615,20,16,1,lightning.qubit,0.5,2.275068521499634
5.971383734,-12.999606409591365,20,64,1,lightning.qubit,0.125,4.593968629837036
7.930881044,-25.494194231580323,20,64,1,lightning.qubit,0.25,5.947526454925537
11.295152073,-40.499263254346296,20,64,1,lightning.qubit,0.375,8.041526317596436
12.770547057,-45.50310623263389,20,64,1,lightning.qubit,0.5,8.750762701034546
6.747141041,-15.681788960856327,24,1,1,lightning.qubit,0.125,5.267958879470825
10.039544045,-29.86450247480014,24,1,1,lightning.qubit,0.25,7.256402492523193
14.078770310,-50.9604547737086,24,1,1,lightning.qubit,0.375,9.043259382247925
15.595919672,-55.72131371250384,24,1,1,lightning.qubit,0.5,9.511734008789062
12.354530828,-10.821597214396768,24,4,1,lightning.qubit,0.125,10.956692695617676
21.963638531,-37.90390551499282,24,4,1,lightning.qubit,0.25,19.088143348693848
26.430848772,-47.68929311521211,24,4,1,lightning.qubit,0.375,22.029898166656494
42.578230681,-74.4089674554748,24,4,1,lightning.qubit,0.5,30.132838249206543
41.291102669,-16.381948204711165,24,16,1,lightning.qubit,0.125,39.73018431663513
59.137449728,-34.00245100393963,24,16,1,lightning.qubit,0.25,56.68075966835022
81.432200106,-52.00104986226567,24,16,1,lightning.qubit,0.375,76.25653266906738
109.663973219,-70.95921756102847,24,16,1,lightning.qubit,0.5,98.77956771850586
163.105251544,-19.00246957552794,24,64,1,lightning.qubit,0.125,161.485924243927
230.334873156,-35.498525923143255,24,64,1,lightning.qubit,0.25,227.55024886131287
294.865783386,-50.49947662362616,24,64,1,lightning.qubit,0.375,289.63840198516846
409.974849805,-74.00025885346871,24,64,1,lightning.qubit,0.5,397.61959767341614
