wall_time,expval,qubits,depth,repeats,backend,graph_sparsity,simulation_time
3.865432562,-1.5812905015825882,10,1,1,lightning.qubit,0.125,0.012946605682373047
1.745055552,-7.139108690601426,10,1,1,lightning.qubit,0.25,0.01053309440612793
1.752454296,-5.704676139899183,10,1,1,lightning.qubit,0.375,0.011328458786010742
1.818720581,-10.217730927626434,10,1,1,lightning.qubit,0.5,0.013131856918334961
1.569197402,-4.2930641920130626,10,4,1,lightning.qubit,0.125,0.01712632179260254
1.201321998,-3.8489221676602208,10,4,1,lightning.qubit,0.25,0.017833709716796875
1.242261114,-7.695097259187873,10,4,1,lightning.qubit,0.375,0.024769306182861328
1.306164180,-13.01221304103218,10,4,1,lightning.qubit,0.5,0.030463695526123047
1.450273244,-2.458601401038744,10,16,1,lightning.qubit,0.125,0.04273486137390137
1.288346969,-6.94862242418446,10,16,1,lightning.qubit,0.25,0.0635986328125
1.401738324,-6.693179360964145,10,16,1,lightning.qubit,0.375,0.06429457664489746
1.317601474,-10.217607209091694,10,16,1,lightning.qubit,0.5,0.08190226554870605
1.433335648,-3.564892883960314,10,64,1,lightning.qubit,0.125,0.15715646743774414
2.342435967,-7.462549552916499,10,64,1,lightning.qubit,0.25,0.25919461250305176
1.580185980,-8.937034888014209,10,64,1,lightning.qubit,0.375,0.29004693031311035
1.573385481,-7.609651720354789,10,64,1,lightning.qubit,0.5,0.26662206649780273
1.337893170,-4.679768062632913,16,1,1,lightning.qubit,0.125,0.03650522232055664
1.324880276,-9.45052813141184,16,1,1,lightning.qubit,0.25,0.03845381736755371
1.757683162,-19.584602571742995,16,1,1,lightning.qubit,0.375,0.046778202056884766
2.339625786,-30.959125790958637,16,1,1,lightning.qubit,0.5,0.0500338077545166
1.267142764,-7.84187783158626,16,4,1,lightning.qubit,0.125,0.05412626266479492
1.375858238,-13.076184769735876,16,4,1,lightning.qubit,0.25,0.07358312606811523
1.506025004,-14.988037164762426,16,4,1,lightning.qubit,0.375,0.07645750045776367
2.326034968,-29.68859693466456,16,4,1,lightning.qubit,0.5,0.10388803482055664
1.353258691,-5.724839734772234,16,16,1,lightning.qubit,0.125,0.1329190731048584
1.574530069,-14.832928887847313,16,16,1,lightning.qubit,0.25,0.20348882675170898
1.709321989,-18.991673877538084,16,16,1,lightning.qubit,0.375,0.22906112670898438
2.095893639,-26.478455343297632,16,16,1,lightning.qubit,0.5,0.2960820198059082
1.946194292,-8.472596633087434,16,64,1,lightning.qubit,0.125,0.5461945533752441
2.220342215,-15.470132856122834,16,64,1,lightning.qubit,0.25,0.7417902946472168
2.577927075,-19.459691402473673,16,64,1,lightning.qubit,0.375,0.9273033142089844
3.289138912,-26.53742291735068,16,64,1,lightning.qubit,0.5,1.1161432266235352
1.597459869,-10.538086067288297,20,1,1,lightning.qubit,0.125,0.31867003440856934
2.004941483,-17.75785700398798,20,1,1,lightning.qubit,0.25,0.3509359359741211
3.054694821,-37.04918890480157,20,1,1,lightning.qubit,0.375,0.40192508697509766
4.699700121,-33.44539041214822,20,1,1,lightning.qubit,0.5,0.4322214126586914
1.749865343,-7.6706084124714,20,4,1,lightning.qubit,0.125,0.4934084415435791
2.242800322,-19.753586747203677,20,4,1,lightning.qubit,0.25,0.6166832447052002
3.716635694,-39.57584792799325,20,4,1,lightning.qubit,0.375,0.7801592350006104
5.654187015,-45.808885177321024,20,4,1,lightning.qubit,0.5,0.8679780960083008
2.648648134,-10.398888058249216,20,16,1,lightning.qubit,0.125,1.3145506381988525
3.532396906,-25.49438594443973,20,16,1,lightning.qubit,0.25,1.809067726135254
5.092794454,-38.49546281488331,20,16,1,lightning.qubit,0.375,2.212294578552246
5.898997624,-43.94528048874862,20,16,1,lightning.qubit,0.5,2.2881455421447754
6.172451675,-12.999606409591367,20,64,1,lightning.qubit,0.125,4.721862554550171
8.249522037,-25.494194231580316,20,64,1,lightning.qubit,0.25,6.312798261642456
11.649675282,-40.49926325434629,20,64,1,lightning.qubit,0.375,8.291230201721191
12.421604584,-45.50310623263389,20,64,1,lightning.qubit,0.5,8.410046100616455
8.377242547,-15.681788960856323,24,1,1,lightning.qubit,0.125,6.86277437210083
11.389123948,-29.864502474800133,24,1,1,lightning.qubit,0.25,8.54809856414795
14.576631156,-50.96045477370859,24,1,1,lightning.qubit,0.375,9.662267684936523
15.938867257,-55.72131371250384,24,1,1,lightning.qubit,0.5,9.935374736785889
14.920866060,-10.82159721439677,24,4,1,lightning.qubit,0.125,13.589007377624512
23.882080224,-37.90390551499281,24,4,1,lightning.qubit,0.25,20.979333877563477
27.565168297,-47.68929311521212,24,4,1,lightning.qubit,0.375,23.160919904708862
43.321043115,-74.40896745547478,24,4,1,lightning.qubit,0.5,30.886126041412354
44.669365401,-16.381948204711165,24,16,1,lightning.qubit,0.125,43.167702436447144
62.087289487,-34.00245100393962,24,16,1,lightning.qubit,0.25,59.69767904281616
84.773895681,-52.00104986226567,24,16,1,lightning.qubit,0.375,79.62380051612854
112.829837984,-70.95921756102845,24,16,1,lightning.qubit,0.5,101.48615431785583
168.499588865,-19.002469575527947,24,64,1,lightning.qubit,0.125,166.8532440662384
240.041398202,-35.49852592314325,24,64,1,lightning.qubit,0.25,237.27810788154602
301.878639949,-50.49947662362615,24,64,1,lightning.qubit,0.375,296.71951270103455
423.697607330,-74.00025885346871,24,64,1,lightning.qubit,0.5,411.03199672698975
