wall_time,expval,qubits,depth,repeats,backend,graph_sparsity,simulation_time
4.061069111,-1.5812905015826038,10,1,1,lightning.kokkos,0.125,0.030635356903076172
1.825839593,-7.139108690601485,10,1,1,lightning.kokkos,0.25,0.02379775047302246
1.809831180,-5.704676139899237,10,1,1,lightning.kokkos,0.375,0.03292727470397949
1.906919802,-10.217730927626517,10,1,1,lightning.kokkos,0.5,0.04086709022521973
1.546345480,-4.293064192013209,10,4,1,lightning.kokkos,0.125,0.02026081085205078
1.234422951,-3.848922167660325,10,4,1,lightning.kokkos,0.25,0.029781341552734375
1.268804591,-7.695097259188079,10,4,1,lightning.kokkos,0.375,0.04789447784423828
1.333090449,-13.012213041032524,10,4,1,lightning.kokkos,0.5,0.06316518783569336
1.201717248,-2.4586014010389974,10,16,1,lightning.kokkos,0.125,0.04620790481567383
1.345060330,-6.948622424185169,10,16,1,lightning.kokkos,0.25,0.08462238311767578
1.333086371,-6.693179360964843,10,16,1,lightning.kokkos,0.375,0.08320021629333496
1.365568912,-10.217607209092733,10,16,1,lightning.kokkos,0.5,0.10913610458374023
1.438851585,-3.564892883961786,10,64,1,lightning.kokkos,0.125,0.1881725788116455
1.972722813,-7.462549552919519,10,64,1,lightning.kokkos,0.25,0.2845640182495117
1.633626770,-8.937034888017811,10,64,1,lightning.kokkos,0.375,0.3169264793395996
1.528492585,-7.609651720357873,10,64,1,lightning.kokkos,0.5,0.2836906909942627
1.693974062,-5.724839734773078,16,16,1,lightning.kokkos,0.125,0.4929792881011963
2.328944503,-8.472596633092719,16,64,1,lightning.kokkos,0.125,0.9875404834747314
