wall_time,expval,qubits,depth,repeats,backend,graph_sparsity,simulation_time
3.822400006,-1.5812905015826038,10,1,1,lightning.kokkos,0.125,0.03097987174987793
1.788783710,-7.139108690601485,10,1,1,lightning.kokkos,0.25,0.02363419532775879
1.724105101,-5.704676139899237,10,1,1,lightning.kokkos,0.375,0.03217935562133789
1.797637112,-10.217730927626517,10,1,1,lightning.kokkos,0.5,0.04176044464111328
1.545910483,-4.293064192013209,10,4,1,lightning.kokkos,0.125,0.020001888275146484
1.213521935,-3.848922167660325,10,4,1,lightning.kokkos,0.25,0.029944896697998047
1.254202289,-7.695097259188079,10,4,1,lightning.kokkos,0.375,0.04738616943359375
1.326022486,-13.012213041032524,10,4,1,lightning.kokkos,0.5,0.06304597854614258
1.212928059,-2.4586014010389974,10,16,1,lightning.kokkos,0.125,0.04481005668640137
1.335430970,-6.948622424185169,10,16,1,lightning.kokkos,0.25,0.08359289169311523
1.364769509,-6.693179360964843,10,16,1,lightning.kokkos,0.375,0.08297514915466309
1.336311299,-10.217607209092733,10,16,1,lightning.kokkos,0.5,0.10946536064147949
1.443913709,-3.564892883961786,10,64,1,lightning.kokkos,0.125,0.1859128475189209
1.584505543,-7.462549552919519,10,64,1,lightning.kokkos,0.25,0.28687620162963867
1.584188621,-8.937034888017811,10,64,1,lightning.kokkos,0.375,0.31737565994262695
1.531143930,-7.609651720357873,10,64,1,lightning.kokkos,0.5,0.2816770076751709
1.715236879,-5.724839734773078,16,16,1,lightning.kokkos,0.125,0.49059200286865234
3.177801464,-8.472596633092719,16,64,1,lightning.kokkos,0.125,0.9809715747833252
